,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
14,beberapa kali lapor status di aplikasi selesai padahal belum ada tugas yg datang tolong tegas lagi orang lapang nya,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['kali', 'lapor', 'status', 'aplikasi', 'selesai', 'tugas', 'tolong', 'orang', 'lapang', 'nya']","['kali', 'lapor', 'status', 'aplikasi', 'selesai', 'tugas', 'tolong', 'orang', 'lapang', 'nya']"
15,makin di sulit,Feature Design,Saran masukan user interface (UI),['sulit'],['sulit']
16,listrik padam jam tanpa solusi komplain udah lebih kali belum juga ada solusi adu yang jawab cuma chatbot,Service O2O,Respon lambat terhadap keluhan pemadaman,"['listrik', 'padam', 'jam', 'solusi', 'komplain', 'udah', 'kali', 'solusi', 'adu', 'chatbot']","['listrik', 'padam', 'jam', 'solusi', 'komplain', 'udah', 'kali', 'solusi', 'adu', 'chatbot']"
17,lapor bbrp lama status lapor nyala padahal tidal tidak ada tugas yang datang tidak ada tombol feedback konfirmasi dari langgan hadap tangan,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['lapor', 'bbrp', 'status', 'lapor', 'nyala', 'tidal', 'tugas', 'tombol', 'feedback', 'konfirmasi', 'langgan', 'hadap', 'tangan']","['lapor', 'bbrp', 'status', 'lapor', 'nyala', 'tidal', 'tugas', 'tombol', 'feedback', 'konfirmasi', 'langgan', 'hadap', 'tangan']"
18,saya lapor ganggu lewat aplikasi ini ga ada tanggap dari jam wib sampe jam wib tidak ada tanggap emang harus bayar ya kalau lapor ganggu sulit sekali,Service O2O,Laporan pengaduan tidak di respon,"['lapor', 'ganggu', 'aplikasi', 'ga', 'tanggap', 'jam', 'wib', 'sampe', 'jam', 'wib', 'tanggap', 'emang', 'bayar', 'ya', 'lapor', 'ganggu', 'sulit']","['lapor', 'ganggu', 'aplikasi', 'ga', 'tanggap', 'jam', 'wib', 'sampe', 'jam', 'wib', 'tanggap', 'emang', 'bayar', 'ya', 'lapor', 'ganggu', 'sulit']"
19,tolong tambah pada metode bayar virtual account bsi bank syariah indonesia supaya kami milik rek bsi lebih mudah dalam laku transaksi di aplikasi pln mobile,Feature Design,Saran fitur baru,"['tolong', 'metode', 'bayar', 'virtual', 'account', 'bsi', 'bank', 'syariah', 'indonesia', 'milik', 'rek', 'bsi', 'mudah', 'laku', 'transaksi', 'aplikasi', 'pln', 'mobile']","['tolong', 'metode', 'bayar', 'virtual', 'account', 'bsi', 'bank', 'syariah', 'indonesia', 'milik', 'rek', 'bsi', 'mudah', 'laku', 'transaksi', 'aplikasi', 'pln', 'mobile']"
20,kita buat adu mcb sering ngetrip sendiridng maksud biar tugas ganti mcb meter nyaehh malah tugas lapang anjur agar hijrah ke tambah daya dari awal va ke vapadahal cuma mcb nya yg sdh usang atau errornampak  pln cari untung banyakayolah untuk tugas lapang jng lah buat asumsi bodoh publikmembodohi masyarakat yg lemah,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['adu', 'mcb', 'ngetrip', 'sendiridng', 'maksud', 'tugas', 'ganti', 'mcb', 'meter', 'nyaehh', 'tugas', 'lapang', 'anjur', 'hijrah', 'daya', 'va', 'vapadahal', 'mcb', 'nya', 'usang', 'errornampak', 'pln', 'cari', 'untung', 'banyakayolah', 'tugas', 'lapang', 'jng', 'asumsi', 'bodoh', 'publikmembodohi', 'masyarakat', 'lemah']","['adu', 'mcb', 'ngetrip', 'sendiridng', 'maksud', 'tugas', 'ganti', 'mcb', 'meter', 'nyaehh', 'tugas', 'lapang', 'anjur', 'hijrah', 'daya', 'va', 'vapadahal', 'mcb', 'nya', 'usang', 'errornampak', 'pln', 'cari', 'untung', 'banyakayolah', 'tugas', 'lapang', 'jng', 'asumsi', 'bodoh', 'publikmembodohi', 'masyarakat', 'lemah']"
21,aplikasi busuk tiap ganti pasti eror udah potong saldo gak dikembalikanmakan duit haram lu pln,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['aplikasi', 'busuk', 'ganti', 'eror', 'udah', 'potong', 'saldo', 'gak', 'dikembalikanmakan', 'duit', 'haram', 'lu', 'pln']","['aplikasi', 'busuk', 'ganti', 'eror', 'udah', 'potong', 'saldo', 'gak', 'dikembalikanmakan', 'duit', 'haram', 'lu', 'pln']"
22,telah update buat lapor susah,Feature Errors,Pengaduan tidak bisa di submit/tidak bisa digunakan,"['update', 'lapor', 'susah']","['update', 'lapor', 'susah']"
23,listrik mati hampir tiap hari dan ketika di komplain gitu doang jawab,Service O2O,Respon lambat terhadap keluhan pemadaman,"['listrik', 'mati', 'komplain', 'gitu', 'doang']","['listrik', 'mati', 'komplain', 'gitu', 'doang']"
24,layan terlalu lama hari mati cuma suruh nunggu entah sampe hari gak nih,Service O2O,Respon lambat terhadap keluhan pemadaman,"['layan', 'mati', 'suruh', 'nunggu', 'sampe', 'gak', 'nih']","['layan', 'mati', 'suruh', 'nunggu', 'sampe', 'gak', 'nih']"
25,sudah  lapor tidak ada respon,Service O2O,Laporan pengaduan tidak di respon,"['lapor', 'respon']","['lapor', 'respon']"
26,layan sangat lambat,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['layan', 'lambat']","['layan', 'lambat']"
27,layan sangat lambat tolong di tindak lanjut pihak kait,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['layan', 'lambat', 'tolong', 'tindak', 'kait']","['layan', 'lambat', 'tolong', 'tindak', 'kait']"
28,apa fungsi gopaylink ajaovo di aplikasi kalau tidak bisa guna bayar iconnet dan listrik menu yang tidak ada yg pakai lo updatetidak bisa bayar iconnet pakai gopaylinkovo lo benerin baru bagus,Feature Design,Fitur Payment,"['fungsi', 'gopaylink', 'ajaovo', 'aplikasi', 'bayar', 'iconnet', 'listrik', 'menu', 'pakai', 'lo', 'updatetidak', 'bayar', 'iconnet', 'pakai', 'gopaylinkovo', 'lo', 'benerin', 'bagus']","['fungsi', 'gopaylink', 'ajaovo', 'aplikasi', 'bayar', 'iconnet', 'listrik', 'menu', 'pakai', 'lo', 'updatetidak', 'bayar', 'iconnet', 'pakai', 'gopaylinkovo', 'lo', 'benerin', 'bagus']"
29,data di lapang dengan di aplikasi tidak singkron,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['data', 'lapang', 'aplikasi', 'singkron']","['data', 'lapang', 'aplikasi', 'singkron']"
30,bank bsi blm bisa laku bayar jd saya kasih bintang dulu,Feature Design,Fitur Payment,"['bank', 'bsi', 'blm', 'laku', 'bayar', 'jd', 'kasih', 'bintang']","['bank', 'bsi', 'blm', 'laku', 'bayar', 'jd', 'kasih', 'bintang']"
31,saya hubung cs kait lurah saya di aplikasi pln mobile ini non taglis masih muncul padahal sudah lunas bayar guna aplikasi mbanking pihak cs memang sudah cek bahwa benar saya sudah selesai tagih non taglisnya akan baik aplikasi pln mobile cs minta saya utk baik rating bintang di aplikasi ini jika masalah selesai tapi saya tidak kenan karena hingga saat ini tiap kali cek non taglis anggap belum lunas,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['hubung', 'cs', 'kait', 'lurah', 'aplikasi', 'pln', 'mobile', 'non', 'taglis', 'muncul', 'lunas', 'bayar', 'aplikasi', 'mbanking', 'cs', 'cek', 'selesai', 'tagih', 'non', 'taglisnya', 'aplikasi', 'pln', 'mobile', 'cs', 'utk', 'rating', 'bintang', 'aplikasi', 'selesai', 'kenan', 'kali', 'cek', 'non', 'taglis', 'anggap', 'lunas']","['hubung', 'cs', 'kait', 'lurah', 'aplikasi', 'pln', 'mobile', 'non', 'taglis', 'muncul', 'lunas', 'bayar', 'aplikasi', 'mbanking', 'cs', 'cek', 'selesai', 'tagih', 'non', 'taglisnya', 'aplikasi', 'pln', 'mobile', 'cs', 'utk', 'rating', 'bintang', 'aplikasi', 'selesai', 'kenan', 'kali', 'cek', 'non', 'taglis', 'anggap', 'lunas']"
32,prettt,Umum,Lain-lain,['prettt'],['prettt']
33,wifi pln icon net ggn mulu ga rekomen lapor sampe bosen ga ada teknisi yang datang sama sekali,ICONNET,Service O2O ICONNET,"['wifi', 'pln', 'icon', 'net', 'ggn', 'mulu', 'ga', 'rekomen', 'lapor', 'sampe', 'bosen', 'ga', 'teknisi']","['wifi', 'pln', 'icon', 'net', 'ggn', 'mulu', 'ga', 'rekomen', 'lapor', 'sampe', 'bosen', 'ga', 'teknisi']"
34,saya daftar jadi langgan baru di iconet bayar tanggal desember sampai sekarang blm pasang alas teknisi jaring putus posisi tiang pln ke rmh lebih padahal blm tarik kabel malah di mintain rbu sama teknisi buat tambah kabel itu bagaimana mana solusi belum pasang tp sudah di sulit pbayaran lunas,ICONNET,Registration ICONNET,"['daftar', 'langgan', 'iconet', 'bayar', 'tanggal', 'desember', 'blm', 'pasang', 'alas', 'teknisi', 'jaring', 'putus', 'posisi', 'tiang', 'pln', 'rmh', 'blm', 'tarik', 'kabel', 'mintain', 'rbu', 'teknisi', 'kabel', 'solusi', 'pasang', 'tp', 'sulit', 'pbayaran', 'lunas']","['daftar', 'langgan', 'iconet', 'bayar', 'tanggal', 'desember', 'blm', 'pasang', 'alas', 'teknisi', 'jaring', 'putus', 'posisi', 'tiang', 'pln', 'rmh', 'blm', 'tarik', 'kabel', 'mintain', 'rbu', 'teknisi', 'kabel', 'solusi', 'pasang', 'tp', 'sulit', 'pbayaran', 'lunas']"
35,tidak dapat upgrade akun pln mobile sebab kamera blank hitam dan tidak dapat kerja saat akan ambil foto ktp permission untuk kamera juga sudah beri,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['upgrade', 'akun', 'pln', 'mobile', 'kamera', 'blank', 'hitam', 'kerja', 'ambil', 'foto', 'ktp', 'permission', 'kamera']","['upgrade', 'akun', 'pln', 'mobile', 'kamera', 'blank', 'hitam', 'kerja', 'ambil', 'foto', 'ktp', 'permission', 'kamera']"
36,aplikasi gak guna kali adu tidak ada tindak atau pun balasanyang ada cuma tagih saja,Service O2O,Laporan pengaduan tidak di respon,"['aplikasi', 'gak', 'kali', 'adu', 'tindak', 'balasanyang', 'tagih']","['aplikasi', 'gak', 'kali', 'adu', 'tindak', 'balasanyang', 'tagih']"
37,ya allah harus aplikasi dari bumn itu lebih unggul daripada aplikasi swastapliss pak erik sidak ini aplikasi apa,Umum,Lain-lain,"['ya', 'allah', 'aplikasi', 'bumn', 'unggul', 'aplikasi', 'swastapliss', 'erik', 'sidak', 'aplikasi']","['ya', 'allah', 'aplikasi', 'bumn', 'unggul', 'aplikasi', 'swastapliss', 'erik', 'sidak', 'aplikasi']"
38,parah ganggu terus internet nya gimanah si tolong di baik lah jaring nya jangan ganguan terus,ICONNET,Feature Error ICONNET,"['parah', 'ganggu', 'internet', 'nya', 'gimanah', 'si', 'tolong', 'jaring', 'nya', 'ganguan']","['parah', 'ganggu', 'internet', 'nya', 'gimanah', 'si', 'tolong', 'jaring', 'nya', 'ganguan']"
39,telah di update kenapa jadi tidak bisa catat meter lagi ya error terus jadi lewat gak bisa catat meter tolong baik,Feature Errors,Swacam tidak dapat digunakan,"['update', 'catat', 'meter', 'ya', 'error', 'gak', 'catat', 'meter', 'tolong']","['update', 'catat', 'meter', 'ya', 'error', 'gak', 'catat', 'meter', 'tolong']"
40,muter muterr,Feature Errors,Gangguan Server,"['muter', 'muterr']","['muter', 'muterr']"
41,saldo nya sering potong sendiri anjjj,Feature Errors,Fungsi fitur gagal,"['saldo', 'nya', 'potong', 'anjjj']","['saldo', 'nya', 'potong', 'anjjj']"
42,saya suka aplikasi initp saat saya laku adu karna di meter ada tulis periksa dan gambar tangan kok malah belit abis suruh ketik angka dan enter suruh foto lagi dan lagi sampai aplikasi ini bisa pakai apa enggak sihsampai sekarang meter saya tetap sama  bisa isi pulsa padahal udah beli token listrik,Feature Design,Fitur Pengaduan,"['suka', 'aplikasi', 'initp', 'laku', 'adu', 'karna', 'meter', 'tulis', 'periksa', 'gambar', 'tangan', 'belit', 'abis', 'suruh', 'ketik', 'angka', 'enter', 'suruh', 'foto', 'aplikasi', 'pakai', 'sihsampai', 'meter', 'isi', 'pulsa', 'udah', 'beli', 'token', 'listrik']","['suka', 'aplikasi', 'initp', 'laku', 'adu', 'karna', 'meter', 'tulis', 'periksa', 'gambar', 'tangan', 'belit', 'abis', 'suruh', 'ketik', 'angka', 'enter', 'suruh', 'foto', 'aplikasi', 'pakai', 'sihsampai', 'meter', 'isi', 'pulsa', 'udah', 'beli', 'token', 'listrik']"
43,layan sangat lambat tidak ada ubah apa telah hari perbajkan voltase masih naik turun untuk tanak lewat magiccom saja perlu jam nyala pompa air sering tidak kuat kipas tidak mau putar listrik sering jeglek padahal hanya lampu dan kulkas yg nyala mohon baik ulang sudah minggu saya dan beberapa tetangga saya tunggu baik terimakasih,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['layan', 'lambat', 'ubah', 'perbajkan', 'voltase', 'turun', 'tanak', 'magiccom', 'jam', 'nyala', 'pompa', 'air', 'kuat', 'kipas', 'putar', 'listrik', 'jeglek', 'lampu', 'kulkas', 'nyala', 'mohon', 'ulang', 'minggu', 'tetangga', 'tunggu', 'terimakasih']","['layan', 'lambat', 'ubah', 'perbajkan', 'voltase', 'turun', 'tanak', 'magiccom', 'jam', 'nyala', 'pompa', 'air', 'kuat', 'kipas', 'putar', 'listrik', 'jeglek', 'lampu', 'kulkas', 'nyala', 'mohon', 'ulang', 'minggu', 'tetangga', 'tunggu', 'terimakasih']"
44,baru pakai aplikasi untuk beli token listrik tetapi saldo sudah potong no token tidak ada,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['pakai', 'aplikasi', 'beli', 'token', 'listrik', 'saldo', 'potong', 'no', 'token']","['pakai', 'aplikasi', 'beli', 'token', 'listrik', 'saldo', 'potong', 'no', 'token']"
45,pak bu mohon potong jangan besar sekali saya isi tiba udah bunyi lg nyata yg masuk cuma token nya,Umum,Keluhan Probis,"['bu', 'mohon', 'potong', 'isi', 'udah', 'bunyi', 'lg', 'nyata', 'masuk', 'token', 'nya']","['bu', 'mohon', 'potong', 'isi', 'udah', 'bunyi', 'lg', 'nyata', 'masuk', 'token', 'nya']"
46,layan buruk,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['layan', 'buruk']","['layan', 'buruk']"
47,hanjeut ta pateh,Umum,Lain-lain,"['hanjeut', 'ta', 'pateh']","['hanjeut', 'ta', 'pateh']"
48,percuma ada aplikasi mati lampu padam lebih dr jam baru ada info telah mati macan ompong kerja utama nya malah  becus,Service O2O,Respon lambat terhadap keluhan pemadaman,"['aplikasi', 'mati', 'lampu', 'padam', 'dr', 'jam', 'info', 'mati', 'macan', 'ompong', 'kerja', 'utama', 'nya', 'becus']","['aplikasi', 'mati', 'lampu', 'padam', 'dr', 'jam', 'info', 'mati', 'macan', 'ompong', 'kerja', 'utama', 'nya', 'becus']"
49,layan cs live chat tolol lambatt gk usah jadi cs aja skalian,Service O2O,Respon lambat/tidak ada respon dari CS,"['layan', 'cs', 'live', 'chat', 'tolol', 'lambatt', 'gk', 'cs', 'skalian']","['layan', 'cs', 'live', 'chat', 'tolol', 'lambatt', 'gk', 'cs', 'skalian']"
50,tidak bisa verifikasi akun karena kamera nya tidak bisa buka ada solusi apa ya untuk verifikasi akun,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['verifikasi', 'akun', 'kamera', 'nya', 'buka', 'solusi', 'ya', 'verifikasi', 'akun']","['verifikasi', 'akun', 'kamera', 'nya', 'buka', 'solusi', 'ya', 'verifikasi', 'akun']"
51,hapus aja fitur daftar baruuntuk dapat no nidi gak ada feedback dari mitra instalasi nyadihubungin no yg tera gak ada respon,Feature Design,Fitur PB/PD,"['hapus', 'fitur', 'daftar', 'baruuntuk', 'no', 'nidi', 'gak', 'feedback', 'mitra', 'instalasi', 'nyadihubungin', 'no', 'tera', 'gak', 'respon']","['hapus', 'fitur', 'daftar', 'baruuntuk', 'no', 'nidi', 'gak', 'feedback', 'mitra', 'instalasi', 'nyadihubungin', 'no', 'tera', 'gak', 'respon']"
52,baru banget install di hp samsung as tapi ga bisa upgrade akun hadeuh,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['banget', 'install', 'hp', 'samsung', 'as', 'ga', 'upgrade', 'akun', 'hadeuh']","['banget', 'install', 'hp', 'samsung', 'as', 'ga', 'upgrade', 'akun', 'hadeuh']"
53,beli token dah transfer malah ga keluar no seri token,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['beli', 'token', 'dah', 'transfer', 'ga', 'no', 'seri', 'token']","['beli', 'token', 'dah', 'transfer', 'ga', 'no', 'seri', 'token']"
54,mohon tingkat lagi aplikasi status bayar hasil tapi di aplikasi status kadaluarsa sampe saat ini pun belum ada proses ganti dana,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['mohon', 'tingkat', 'aplikasi', 'status', 'bayar', 'hasil', 'aplikasi', 'status', 'kadaluarsa', 'sampe', 'proses', 'ganti', 'dana']","['mohon', 'tingkat', 'aplikasi', 'status', 'bayar', 'hasil', 'aplikasi', 'status', 'kadaluarsa', 'sampe', 'proses', 'ganti', 'dana']"
55,tangan sangat lambat dan tiba tiba di batal cara otomatis minimal kalo batal adu ada informasi lah di tunggu dari pagi sampe sore gak ada kembang,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['tangan', 'lambat', 'batal', 'otomatis', 'minimal', 'batal', 'adu', 'informasi', 'tunggu', 'pagi', 'sampe', 'sore', 'gak', 'kembang']","['tangan', 'lambat', 'batal', 'otomatis', 'minimal', 'batal', 'adu', 'informasi', 'tunggu', 'pagi', 'sampe', 'sore', 'gak', 'kembang']"
56,mo sekarang makin jelek aja ya ga bisa cek poin beli token juga poin yg di dapat ga tahu informasi sedang ada ganggu jaring atau sistem masa bisa lama ini da hari kalo ga punya tim it yg mempuni jangan buat aplikasi moga depan bisa lebih baik,Feature Errors,Fungsi fitur gagal,"['mo', 'jelek', 'ya', 'ga', 'cek', 'poin', 'beli', 'token', 'poin', 'ga', 'informasi', 'ganggu', 'jaring', 'sistem', 'da', 'ga', 'tim', 'it', 'mempuni', 'aplikasi', 'moga']","['mo', 'jelek', 'ya', 'ga', 'cek', 'poin', 'beli', 'token', 'poin', 'ga', 'informasi', 'ganggu', 'jaring', 'sistem', 'da', 'ga', 'tim', 'it', 'pun', 'aplikasi', 'moga']"
57,camera error when try to upgrade my account device samsung ,Feature Errors,Permintaan verifikasi ID tidak dapat diajukan,"['camera', 'error', 'when', 'try', 'to', 'upgrade', 'my', 'account', 'device', 'samsung']","['camera', 'error', 'when', 'try', 'to', 'upgrade', 'my', 'account', 'device', 'samsung']"
58,sekarang kok ndak bisa masuk nya padahal belum baik baik aja,Registration,Sulit login/tidak bisa login,"['ndak', 'masuk', 'nya']","['ndak', 'masuk', 'nya']"
59,forum adu listrik padam sekarang sangat buruk pertama status sudah nyala padahal di tkp belum dua sering tiba ada terang batal langgan padahal tidak saya batal kalo mau bukti ada saya kirim scrensootnya layan makin parah kecewa,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['forum', 'adu', 'listrik', 'padam', 'buruk', 'status', 'nyala', 'tkp', 'terang', 'batal', 'langgan', 'batal', 'bukti', 'kirim', 'scrensootnya', 'layan', 'parah', 'kecewa']","['forum', 'adu', 'listrik', 'padam', 'buruk', 'status', 'nyala', 'tkp', 'terang', 'batal', 'langgan', 'batal', 'bukti', 'kirim', 'scrensootnya', 'layan', 'parah', 'kecewa']"
60,adu kurang direspon kecewa banget,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['adu', 'direspon', 'kecewa', 'banget']","['adu', 'direspon', 'kecewa', 'banget']"
61,kalo mau mtiin lampu kasih tau warga duluudah tau internet skrg penting bgtlagi penting nya enak ny mtiin listriktolong tindak cara seriusmentang ke kampung enak nya ajakabsubang kecpagaden barat dsbendungan jgn enak nya kasih info atau apa kek,Service O2O,Respon lambat terhadap keluhan pemadaman,"['mtiin', 'lampu', 'kasih', 'warga', 'duluudah', 'internet', 'skrg', 'bgtlagi', 'nya', 'enak', 'ny', 'mtiin', 'listriktolong', 'tindak', 'seriusmentang', 'kampung', 'enak', 'nya', 'ajakabsubang', 'kecpagaden', 'barat', 'dsbendungan', 'enak', 'nya', 'kasih', 'info', 'kek']","['mtiin', 'lampu', 'kasih', 'warga', 'duluudah', 'internet', 'skrg', 'bgtlagi', 'nya', 'enak', 'ny', 'mtiin', 'listriktolong', 'tindak', 'seriusmentang', 'kampung', 'enak', 'nya', 'ajakabsubang', 'kecpagaden', 'barat', 'dsbendungan', 'enak', 'nya', 'kasih', 'info', 'kek']"
62,ini aplikasi tidak bisa di akses tidak bisa login maksud nya gimana ya tolong di baik sudah lama tidak bisa akses login terimakasih,Registration,Sulit login/tidak bisa login,"['aplikasi', 'akses', 'login', 'maksud', 'nya', 'gimana', 'ya', 'tolong', 'akses', 'login', 'terimakasih']","['aplikasi', 'akses', 'login', 'maksud', 'nya', 'gimana', 'ya', 'tolong', 'akses', 'login', 'terimakasih']"
63,aplikasi ada undi kupon pas kita pilih dari salah satu undi gak ada tu notifikasi di emaildi telpon undi tipu,Umum,Keluhan Probis,"['aplikasi', 'undi', 'kupon', 'pas', 'pilih', 'salah', 'undi', 'gak', 'tu', 'notifikasi', 'emaildi', 'telpon', 'undi', 'tipu']","['aplikasi', 'undi', 'kupon', 'pas', 'pilih', 'salah', 'undi', 'gak', 'tu', 'notifikasi', 'emaildi', 'telpon', 'undi', 'tipu']"
64,bogged apps,Umum,Lain-lain,"['bogged', 'apps']","['bogged', 'apps']"
65,ini sy tu mau login knp jadi daftar lg udah masuk verifikasi jadi ilang maksud gmn dan sampai sekarang ga ada baik mau migrasi atau pindah daya lewat aplikasi tp aplikasi bug kek gin ente niat gak sih,Registration,Sulit login/tidak bisa login,"['sy', 'tu', 'login', 'knp', 'daftar', 'lg', 'udah', 'masuk', 'verifikasi', 'ilang', 'maksud', 'gmn', 'ga', 'migrasi', 'pindah', 'daya', 'aplikasi', 'tp', 'aplikasi', 'bug', 'kek', 'gin', 'ente', 'niat', 'gak']","['sy', 'tu', 'login', 'knp', 'daftar', 'lg', 'udah', 'masuk', 'verifikasi', 'ilang', 'maksud', 'gmn', 'ga', 'migrasi', 'pindah', 'daya', 'aplikasi', 'tp', 'aplikasi', 'bug', 'kek', 'gin', 'ente', 'niat', 'gak']"
66,knp skrgnaiknya bnyak sekali ya,Umum,Lain-lain,"['knp', 'skrgnaiknya', 'bnyak', 'ya']","['knp', 'skrgnaiknya', 'bnyak', 'ya']"
67,dalam fitur adu tulis adu  batal oleh langgan padahal tdk ad ad batal sama sekali sampai tulis dua kali adu ttp sama tlpon call center pun tugas tidak datang,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['fitur', 'adu', 'tulis', 'adu', 'batal', 'langgan', 'tdk', 'ad', 'ad', 'batal', 'tulis', 'kali', 'adu', 'ttp', 'tlpon', 'call', 'center', 'tugas']","['fitur', 'adu', 'tulis', 'adu', 'batal', 'langgan', 'tdk', 'ad', 'ad', 'batal', 'tulis', 'kali', 'adu', 'ttp', 'tlpon', 'call', 'center', 'tugas']"
